VariationID,first_date,first_bucket,latest_date,latest_bucket,transition,years_to_reclassification
586923,2018-02-02,P,2022-03-15,LP,P_to_LP,4.112251882272417
591327,2018-09-16,VUS,2025-10-01,P,VUS_to_P,7.041752224503765
591834,2018-09-16,VUS,2025-07-11,LP,VUS_to_LP,6.8172484599589325
591936,2018-09-16,VUS,2023-07-21,P,VUS_to_P,4.843258042436688
592044,2018-09-16,VUS,2023-06-15,P,VUS_to_P,4.744695414099931
594637,2017-11-14,LB,2026-01-26,B,LB_to_B,8.199863107460644
595461,2017-12-21,LP,2024-11-05,P,LP_to_P,6.874743326488707
596384,2018-03-27,LB,2025-09-08,B,LB_to_B,7.452429842573579
599533,2001-11-18,P,2024-08-09,VUS,P_to_VUS,22.72416153319644
599633,2013-01-01,LP,2025-10-14,VUS,LP_to_VUS,12.78302532511978
620314,2023-04-26,P,2024-12-31,LP,P_to_LP,1.6837782340862424
623172,2017-11-21,LP,2024-02-17,P,LP_to_P,6.239561943874059
624235,2018-12-11,B,2026-04-21,LB,B_to_LB,7.359342915811088
633688,2018-09-16,VUS,2021-01-09,LB,VUS_to_LB,2.316221765913758
635607,2019-07-06,P,2024-06-03,LP,P_to_LP,4.91170431211499
635631,2019-07-06,P,2024-05-09,LP,P_to_LP,4.843258042436688
635633,2019-07-06,P,2022-07-09,LP,P_to_LP,3.0088980150581794
635640,2019-07-06,LP,2023-03-27,P,LP_to_P,3.7234770704996576
635647,2019-07-06,P,2023-01-15,LP,P_to_LP,3.5290896646132786
635668,2018-12-14,LP,2025-10-31,P,LP_to_P,6.880219028062971
635675,2019-07-06,P,2023-01-25,LP,P_to_LP,3.5564681724845997
635684,2019-07-06,P,2024-07-30,LP,P_to_LP,5.06776180698152
635689,2019-07-06,P,2024-10-07,LP,P_to_LP,5.256673511293634
658717,2018-11-27,LP,2025-04-16,P,LP_to_P,6.38466803559206
667374,2017-08-21,LP,2024-02-13,P,LP_to_P,6.480492813141684
668435,2018-06-08,LB,2026-01-19,B,LB_to_B,7.616700889801506
679372,2018-06-16,LB,2026-01-01,B,LB_to_B,7.545516769336071
684621,2015-05-31,P,2020-05-28,VUS,P_to_VUS,4.993839835728953
684622,2015-05-31,P,2020-05-28,VUS,P_to_VUS,4.993839835728953
695249,2021-08-31,LB,2026-02-01,B,LB_to_B,4.421629021218344
697785,2020-12-11,LB,2026-01-14,B,LB_to_B,5.092402464065708
702098,2018-01-13,LB,2026-02-04,B,LB_to_B,8.060232717316905
702387,2021-10-11,LB,2026-01-28,B,LB_to_B,4.298425735797399
702618,2022-11-06,LB,2025-08-30,B,LB_to_B,2.8145106091718
702837,2022-02-23,LB,2025-01-24,B,LB_to_B,2.91854893908282
703312,2021-12-08,LB,2025-07-17,B,LB_to_B,3.6057494866529773
704319,2023-05-09,LB,2025-06-12,B,LB_to_B,2.0944558521560577
705326,2017-12-13,LB,2025-02-27,B,LB_to_B,7.208761122518823
705367,2018-01-13,LB,2026-01-24,B,LB_to_B,8.030116358658454
705404,2021-08-17,LB,2025-06-12,B,LB_to_B,3.8193018480492813
706005,2020-03-13,LB,2026-01-31,B,LB_to_B,5.886379192334018
706216,2019-05-22,LB,2026-01-26,B,LB_to_B,6.683093771389459
707348,2020-03-27,LB,2025-12-24,B,LB_to_B,5.7440109514031485
708640,2021-01-22,LB,2025-12-13,B,LB_to_B,4.889801505817933
710136,2019-07-24,B,2019-12-31,LB,B_to_LB,0.4380561259411362
715246,2019-12-31,B,2024-05-01,LB,B_to_LB,4.334017796030117
715582,2023-04-01,LB,2025-12-25,B,LB_to_B,2.735112936344969
716933,2019-04-15,LB,2025-11-04,B,LB_to_B,6.5571526351813825
721168,2018-01-13,LB,2019-12-31,B,LB_to_B,1.9630390143737166
721857,2025-07-01,LB,2026-01-27,B,LB_to_B,0.5749486652977412
722602,2025-03-05,LB,2025-12-26,B,LB_to_B,0.810403832991102
725157,2018-01-17,LB,2022-06-01,B,LB_to_B,4.369609856262834
725673,2018-01-13,LB,2026-01-24,B,LB_to_B,8.030116358658454
726972,2018-01-13,LB,2026-01-02,B,LB_to_B,7.969883641341547
728157,2021-07-18,LB,2025-10-13,B,LB_to_B,4.238193018480493
728571,2018-01-13,LB,2026-01-31,B,LB_to_B,8.049281314168377
729081,2017-12-04,B,2019-06-07,LB,B_to_LB,1.5058179329226558
729285,2021-11-30,LB,2026-01-19,B,LB_to_B,4.136892539356605
729497,2021-11-04,LB,2025-12-11,B,LB_to_B,4.101300479123887
730903,2021-10-11,LB,2025-10-09,B,LB_to_B,3.994524298425736
731749,2017-04-27,B,2026-03-01,LB,B_to_LB,8.843258042436688
731820,2017-12-12,LB,2019-12-31,B,LB_to_B,2.0506502395619437
733026,2016-12-12,LB,2026-01-16,B,LB_to_B,9.095140314852841
734237,2021-11-19,LB,2025-08-04,B,LB_to_B,3.707049965776865
737325,2019-06-20,LB,2025-11-11,B,LB_to_B,6.395619438740589
740519,2021-08-16,LB,2026-01-24,B,LB_to_B,4.440793976728268
746694,2019-07-31,B,2026-01-01,LB,B_to_LB,6.422997946611909
746864,2025-09-14,LB,2025-09-30,B,LB_to_B,0.04380561259411362
754825,2019-03-26,LB,2026-01-13,B,LB_to_B,6.803559206023272
755481,2023-05-15,LB,2025-02-26,B,LB_to_B,1.787816563997262
760115,2022-04-04,LB,2025-02-26,B,LB_to_B,2.8993839835728954
765190,2021-04-19,LB,2025-02-26,B,LB_to_B,3.8576317590691307
770448,2018-01-12,LB,2026-01-02,B,LB_to_B,7.972621492128679
772452,2021-07-29,LB,2025-12-21,B,LB_to_B,4.396988364134154
772909,2017-04-27,B,2026-01-19,LB,B_to_LB,8.731006160164272
772959,2021-08-05,LB,2025-12-29,B,LB_to_B,4.399726214921286
774278,2019-12-31,B,2025-08-18,LB,B_to_LB,5.631759069130732
778721,2018-01-12,LB,2026-01-23,B,LB_to_B,8.030116358658454
779107,2021-07-07,LB,2026-02-03,B,LB_to_B,4.577686516084873
780089,2025-05-01,LB,2025-12-31,B,LB_to_B,0.6680355920602327
780090,2025-05-01,LB,2025-12-31,B,LB_to_B,0.6680355920602327
781192,2021-08-17,LB,2026-01-10,B,LB_to_B,4.399726214921286
781193,2025-03-01,LB,2026-01-06,B,LB_to_B,0.8514715947980835
781779,2019-12-31,B,2025-06-01,LB,B_to_LB,5.418206707734429
783031,2023-11-01,LB,2025-12-23,B,LB_to_B,2.1437371663244353
784210,2020-07-08,LB,2026-01-24,B,LB_to_B,5.546885694729637
785842,2019-12-31,B,2025-08-18,LB,B_to_LB,5.631759069130732
787067,2019-03-28,B,2025-12-31,LB,B_to_LB,6.76249144421629
788524,2021-09-01,LB,2026-01-28,B,LB_to_B,4.407939767282683
789096,2018-01-13,LB,2025-12-21,B,LB_to_B,7.9370294318959616
790840,2025-08-18,LB,2026-01-05,B,LB_to_B,0.38329911019849416
793475,2020-11-20,LB,2026-01-25,B,LB_to_B,5.1800136892539355
793480,2018-01-13,LB,2025-04-12,B,LB_to_B,7.24435318275154
794069,2018-01-13,LB,2026-01-28,B,LB_to_B,8.041067761806982
800599,2019-05-24,B,2021-05-23,LB,B_to_LB,1.998631074606434
805641,2018-12-21,B,2026-01-26,LB,B_to_LB,7.099247091033539
807521,2017-09-15,LP,2024-07-01,P,LP_to_P,6.792607802874743
807976,2019-05-01,LB,2024-10-24,B,LB_to_B,5.4839151266255985
809896,2019-09-26,LB,2026-01-28,B,LB_to_B,6.3408624229979464
809899,2019-05-19,LB,2026-02-02,B,LB_to_B,6.71047227926078
809909,2019-03-19,LB,2026-01-19,B,LB_to_B,6.839151266255989
817557,2019-10-01,P,2024-11-05,LP,P_to_LP,5.0978781656399725
820303,2019-08-08,P,2025-06-16,LP,P_to_LP,5.856262833675565
820691,2019-08-12,LB,2025-02-26,B,LB_to_B,5.544147843942505
821338,2019-09-25,LB,2025-02-27,B,LB_to_B,5.426420260095825
822779,2019-10-01,LB,2025-02-25,B,LB_to_B,5.404517453798768
829843,2019-05-23,VUS,2024-11-05,P,VUS_to_P,5.456536618754278
834788,2021-11-04,P,2024-11-05,LP,P_to_LP,3.0034223134839153
870395,2018-08-28,P,2024-11-01,LP,P_to_LP,6.179329226557153
871711,2021-05-05,P,2024-03-12,LP,P_to_LP,2.8528405201916494
871758,2019-04-01,P,2026-03-29,LP,P_to_LP,6.992470910335387
877499,2018-01-13,B,2023-04-03,LB,B_to_LB,5.218343600273785
878526,2018-01-13,VUS,2022-06-27,LB,VUS_to_LB,4.4517453798767965
881238,2018-01-13,LB,2026-02-01,B,LB_to_B,8.05201916495551
881588,2018-01-13,LB,2018-01-13,B,LB_to_B,0.0
881630,2018-01-12,LB,2018-01-12,B,LB_to_B,0.0
882199,2018-01-13,B,2018-01-13,LB,B_to_LB,0.0
883642,2018-01-12,LB,2026-02-01,B,LB_to_B,8.054757015742641
889650,2018-01-12,LB,2026-01-18,B,LB_to_B,8.016427104722792
889651,2018-01-13,LB,2025-12-23,B,LB_to_B,7.942505133470226
891018,2017-04-27,LB,2026-01-26,B,LB_to_B,8.750171115674195
891019,2018-01-13,LB,2022-06-27,B,LB_to_B,4.4517453798767965
902580,2018-01-13,LB,2019-07-01,B,LB_to_B,1.462012320328542
905141,2018-01-12,LB,2026-01-26,B,LB_to_B,8.038329911019849
906417,2018-01-13,LB,2026-01-31,B,LB_to_B,8.049281314168377
910386,2018-01-13,B,2018-08-06,LB,B_to_LB,0.5612594113620808
912681,2018-01-12,LB,2026-01-25,B,LB_to_B,8.035592060232718
914320,2018-01-13,LB,2025-08-10,B,LB_to_B,7.572895277207392
914644,2018-01-12,LB,2025-12-28,B,LB_to_B,7.958932238193018
916522,2020-03-01,LB,2025-12-01,B,LB_to_B,5.752224503764545
916651,2018-09-14,P,2024-02-03,LP,P_to_LP,5.388090349075975
916656,2018-09-14,P,2023-03-29,LP,P_to_LP,4.5366187542778915
916657,2003-06-01,P,2023-08-15,LP,P_to_LP,20.205338809034906
916658,2018-09-14,LP,2018-10-24,VUS,LP_to_VUS,0.10951403148528405
916663,2018-09-14,P,2025-07-21,LP,P_to_LP,6.850102669404517
916665,2018-09-14,P,2023-12-20,LP,P_to_LP,5.2648870636550305
950459,2022-08-13,LB,2025-02-27,B,LB_to_B,2.543463381245722
957904,2019-11-06,P,2023-03-14,LP,P_to_LP,3.351129363449692
974505,2020-02-01,LP,2023-07-24,P,LP_to_P,3.4743326488706368
979080,2018-10-15,LP,2024-02-23,P,LP_to_P,5.3579739904175225
